id,chain_miles,cassette_miles,front_fork_miles,rear_shock_miles,chain_ring_miles,bottom_bracket_miles,sealant_refresh_hours,brake_bleed_miles,brake_pads_miles,brake_rotors_miles,tires_miles,"strava_bike_id","chain_type","cassette_type",dropper_miles
1,1700,2500,1000,1000,1000,2000,2190,1000,1000,2000,900,"b5734928","XX1","Sram X01",1200
2,400,1000,1000,1000,1000,2000,2190,1000,1000,2000,900,"b7452464","","",1200
3,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,4000,"111","","",1200
4,1700,2500,1000,1000,3000,4000,2190,2000,1000,4000,4000,"b9172296","XX1","XX1",1200
5,1700,2500,1000,1000,3000,4000,2190,2000,1000,4000,4000,"b10084455","XX1","XX1",1200
6,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,4000,"b10089506","","",1200
9,1700,2500,1000,1000,3000,4000,2290,2000,1000,4000,2000,"b8998999","Sram X01","Sram X01",1700
12,1700,2500,1000,1000,2000,4000,2190,2000,1000,4000,2100,"b8604913","XX1","XX1",1200
13,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,4000,"b4550956","","",1200
14,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b4550951","","",1200
15,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b4550947","","",1200
16,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b4550957","","",1200
17,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b4550952","","",1200
19,1700,2500,1100,1000,3000,1000,2190,4000,1000,4000,2000,"b8722228","Sram XX1","Sram XX1",1200
27,1500,1100,0,0,3000,4000,2190,5566,800,756,7512,"b10482015","Shimano XT","",1200
30,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b10629518","","",1200
31,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b10629520","","",1200
32,0,0,0,0,0,0,2190,0,0,4000,0,"b10439181","","",0
33,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b10438086","","",1200
34,1000,2500,200,200,200,200,2190,200,300,4000,4000,"b10337705","GX","XX1",200
36,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b10684118","","",1200
37,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b10993652","","",1200
38,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b11068931","","",1200
39,400,1000,1000,1000,3000,4000,2190,2000,1500,4000,2000,"b11164107","","",1200
40,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b11169479","","",1200
42,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b11201100","","",1200
44,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b11340096","","",1200
47,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b10445201","","",1200
48,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b9715469","","",1200
49,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b11069440","","",1200
50,180,180,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b11623695","XX1","",1200
51,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b9368379","","",1200
52,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b6381527","","",1200
53,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b4071116","","",1200
54,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b11555973","","",1200
56,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b12790506","","",1200
57,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b13174897","","",1200
58,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b13216165","","",1200
59,700,2500,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b13825986","NX","X01",1200
60,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b14038051","","",1200
62,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b13494756","","",1200
63,1700,2500,1200,1200,3000,4000,2190,2000,1000,4000,1000,"b15194529","Sram X01","Sram X01",1200
94,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b4680532","","",1200
95,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b13116942","","",1200
96,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b8918764","","",1200
101,1001,1001,1000,1000,3001,4001,2190,2001,1001,4001,2001,"b16333634","","",1201
102,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b15847672","","",1200
103,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b16464922","","",1200
104,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b16464919","","",1200
109,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b16493195","","",1200
110,400,1100,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b16518377","","",1200
111,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b16518448","","",1200
112,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b16518443","","",1200
121,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b16589690","","",1200
122,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b14801830","","",1200
123,1100,1100,1000,1400,3000,4000,2190,2000,1000,4000,2000,"b15698192","","",1200
124,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b15697709","","",1200
125,400,1000,1000,500,3000,4000,2990,2000,1000,4000,2000,"b16007612","","",1300
126,1700,2500,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b7532903","Sram X01","Sram X01",1200
128,400,1000,1000,1000,3000,4000,2290,2000,1000,4000,2000,"b15712906","","",1200
129,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b16207197","","",1200
130,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b16463795","","",1200
131,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b16618122","","",1200
133,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b16324803","","",1200
197,1700,2500,1002400,1202,3102,4102,2190,2002,1002200,4002,2002,"b16795705","Sram X01","Sram X01",1202
198,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b15270283","","",1200
199,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b16991334","","",1200
200,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b16991333","","",1200
203,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b16841624","","",1200
204,600100,1000,1000100,1000,3000,4100,2290,2000,1000,4000,2000,"b17061172","","",1200
205,600,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b16578682","","",1200
206,600,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b17252000","","",1200
207,600,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b17284518","","",1200
208,600,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b17284513","","",1200
209,600,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b17284504","","",1200
210,900,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b16973782","","",1200
211,600,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b16561794","","",1200
212,600,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b12917957","","",1200
213,600,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b14691794","","",1200
214,600,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b12609519","","",1200
215,600,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b16214944","","",1200
216,600,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b17324716","","",1200
217,600,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b17285019","","",1200
218,600,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b17285037","","",1200
219,600,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b17324703","","",1200
220,600,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b15740891","","",1200
221,600,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b15740875","","",1200
222,600,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b5784623","","",1200
